img_path,mountain,sky,water
32293392714_11492c1e24_b.jpg,True,True,False
32293961184_a6f51a1f31_b.jpg,True,True,False
32318432453_aed4ed0904_b.jpg,False,True,True
32319015963_bb67e8f100_b.jpg,False,True,True
32319051053_e97d05d94b_b.jpg,False,True,True
32323254323_dceac67d73_b.jpg,True,True,True
32323271333_e9c20b0abc_b.jpg,True,True,True
32323288203_029a460c4f_b.jpg,True,True,True
32323725293_31fddecb11_b.jpg,True,True,True
32324304603_11719f3880_b.jpg,True,True,False
32331227731_bbe62fc4f5_b.jpg,True,False,False
32337299175_6de3a5d1e9_b.jpg,True,True,False
32382748247_fe20f8ef83_b.jpg,False,True,False
32382751717_bda72a0cac_b.jpg,False,True,False
32389696077_7177331c41_b.jpg,False,True,True
32393881364_320a8f3d81_b.jpg,True,True,True
32395922324_dff5118b2e_b.jpg,False,True,True
32402257834_5fde1b2642_b.jpg,True,True,True
32420078964_bba14db506_b.jpg,False,True,True
32420370164_fcd8250aa6_b.jpg,True,True,True
32420762844_6c216b6a58_b.jpg,True,False,False
32420771334_874a483644_b.jpg,True,False,False
32421526561_c81906a72b_b.jpg,False,True,True
32423250173_3caf09efc7_b.jpg,True,True,False
32423444803_434bc8c901_b.jpg,False,True,True
32425781130_87ebe3f832_b.jpg,True,False,False
32431899883_28809c9969_b.jpg,True,True,True
32438840883_730b808497_b.jpg,False,True,True
32448625453_256de98e86_b.jpg,False,True,True
32456478720_faec51a810_b.jpg,True,True,True
32456804440_665eb8cb8d_b.jpg,True,True,False
32456961150_91529fb1f0_b.jpg,True,True,False
32456975880_c3474f5d7e_b.jpg,True,True,False
32457154520_114fdff3ea_b.jpg,True,True,False
32457411980_6cd43e438e_b.jpg,True,True,False
32458303160_6555cf05ac_b.jpg,True,True,False
32458594660_e300208de5_b.jpg,True,True,False
32459056410_16288d99f4_b.jpg,True,True,False
32459072070_b208f48fb9_b.jpg,True,True,True
32459142700_ca9dbca040_b.jpg,True,True,False
32459162540_a8ba00c5de_b.jpg,True,True,False
32459355440_3fd86e5a59_b.jpg,True,True,True
32461450091_79363a0528_b.jpg,True,True,False
32462085160_b09074b10a_b.jpg,False,True,True
32469543431_7d2b4ce06a_b.jpg,False,True,True
32473207220_0511dec222_b.jpg,True,True,True
32476283065_b26226da55_b.jpg,True,False,False
32498259572_3e178ffcf7_b.jpg,True,True,False
32540520367_17266c38d4_b.jpg,False,True,True
32540520617_a475c8318b_b.jpg,False,False,True
32540521197_fc4467f63d_b.jpg,True,True,True
32543368196_5540742cd3_b.jpg,True,True,False
32561134738_6a950d0eab_b.jpg,True,True,False
32570925421_5e5529cb87_b.jpg,False,False,True
32584529962_060b27b001_b.jpg,True,True,True
32586607546_660b85a771_b.jpg,True,True,False
32592535215_2301c8507c_b.jpg,False,True,True
32600991277_00a8724b36_b.jpg,True,True,False
32602781106_c1f6a4a851_b.jpg,True,False,False
32614512411_dddc95d3a7_b.jpg,True,True,False
32617246034_c590e773cc_b.jpg,True,False,False
32617265007_4816b766e3_b.jpg,True,True,True
32619863914_64ebe87b62_b.jpg,False,True,True
32620252394_2cf3437750_b.jpg,True,True,True
32620272054_40f00586c6_b.jpg,True,True,True
32620461094_e91ff56bc1_b.jpg,True,True,True
32620504884_c3250d7b2c_b.jpg,True,True,True
32620826750_09a378eb68_b.jpg,True,True,True
32649274193_63ec4a11e1_b.jpg,True,True,True
32649341263_733544fb17_b.jpg,True,True,True
32649417003_9bcd11a933_b.jpg,True,True,True
32649443083_f06633c97e_b.jpg,True,True,True
32649449573_5177a1ab80_b.jpg,True,True,True
32671271718_bb89f99fe6_b.jpg,False,True,True
32683838292_9fc4072a0a_b.jpg,True,True,False
32683885582_498b50edc0_b.jpg,True,True,False
32684191292_8294be3e7e_b.jpg,True,True,False
32684808892_8a33030817_b.jpg,True,True,False
32684859482_e6372ea04e_b.jpg,False,True,True
32684879982_1ac1deea01_b.jpg,False,True,True
32685859022_d0f2b8767a_b.jpg,True,True,False
32686054312_c250d763d9_b.jpg,True,True,False
